Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
1980-12-12,0.09848488122224808,0.0989130525950304,0.09848488122224808,0.09848488122224808,469033600
1980-12-15,0.09334685653448105,0.09377502786949679,0.09334685653448105,0.09377502786949679,175884800
1980-12-16,0.08649539947509766,0.08692356511608458,0.08649539947509766,0.08692356511608458,105728000
1980-12-17,0.08863621950149536,0.08906439076477202,0.08863621950149536,0.08863621950149536,86441600
1980-12-18,0.09120599925518036,0.09163416478981276,0.09120599925518036,0.09120599925518036,73449600
1980-12-19,0.09677215665578842,0.0972003278050905,0.09677215665578842,0.09677215665578842,48630400
1980-12-22,0.10148207098245621,0.10191100844418598,0.10148207098245621,0.10148207098245621,37363200
1980-12-23,0.10576445609331131,0.10619262722800137,0.10576445609331131,0.10576445609331131,46950400
1980-12-24,0.11133067309856415,0.11175884433538877,0.11133067309856416,0.11133067309856416,48003200
1980-12-26,0.12160755693912506,0.12203572844593139,0.12160755693912506,0.12160755693912506,55574400
1980-12-29,0.12332017719745636,0.12374834851561055,0.12332017719745636,0.12332017719745636,93161600
1980-12-30,0.12032301723957062,0.12075117718202474,0.12032301723957062,0.12075117718202474,68880000
1980-12-31,0.11689761281013489,0.11732578398049098,0.11689761281013489,0.11732578398049098,35750400
1981-01-02,0.11818218231201172,0.11903852514128148,0.11818218231201172,0.11818218231201172,21660800
1981-01-05,0.11561308801174164,0.1160412476638937,0.11561308801174162,0.1160412476638937,35728000
1981-01-06,0.11047429591417313,0.11090246701646747,0.11047429591417313,0.11090246701646747,45158400
1981-01-07,0.10576445609331131,0.10619262722800137,0.10576445609331131,0.10619262722800137,55686400
1981-01-08,0.10362362116575241,0.10405178085761664,0.10362362116575241,0.10405178085761664,39827200
1981-01-09,0.10918982326984406,0.10961799448675348,0.10918982326984406,0.10918982326984406,21504000
1981-01-12,0.10833349078893661,0.10918982177698838,0.10833349078893663,0.10918982177698838,23699200
1981-01-13,0.10447997599840164,0.10490814722273845,0.10447997599840164,0.10490814722273845,23049600
1981-01-14,0.10490813106298447,0.10533630222136699,0.10490813106298447,0.10490813106298447,14291200
1981-01-15,0.10704903304576874,0.10790536438944272,0.10704903304576874,0.10704903304576874,14067200
1981-01-16,0.10619266331195831,0.10662083459213971,0.1061926633119583,0.10662083459213971,13395200
1981-01-19,0.1126151829957962,0.11304335426159573,0.1126151829957962,0.1126151829957962,41574400
1981-01-20,0.10918982326984406,0.10961799448675348,0.10918982326984406,0.10961799448675348,30083200
1981-01-21,0.11133067309856415,0.11218700413815359,0.11133067309856416,0.11133067309856416,15904000
1981-01-22,0.1126151829957962,0.11347152552739526,0.1126151829957962,0.1126151829957962,35548800
1981-01-23,0.11218703538179398,0.11304337809393122,0.11218703538179398,0.1126152067378626,11222400
1981-01-26,0.11047429591417313,0.11090246701646747,0.11047429591417313,0.11090246701646747,24640000
1981-01-27,0.10961800068616867,0.11047433173435785,0.10961800068616867,0.11047433173435785,23699200
1981-01-28,0.10619266331195831,0.10662083459213971,0.1061926633119583,0.10662083459213971,28156800
1981-01-29,0.10233910381793976,0.10276727492725074,0.10233910381793976,0.10276727492725074,43904000
1981-01-30,0.09677215665578842,0.09762849895439259,0.09677215665578842,0.09762849895439259,46188800
1981-02-02,0.09120599925518036,0.09163416478981276,0.09120599925518036,0.09163416478981276,23766400
1981-02-03,0.09463133662939072,0.09505950211981375,0.09463133662939072,0.09463133662939072,19152000
1981-02-04,0.09805671125650406,0.09848487115144045,0.09805671125650406,0.09805671125650406,27865600
1981-02-05,0.09805671125650406,0.09891304248043907,0.09805671125650406,0.09805671125650406,7929600
1981-02-06,0.09848488122224808,0.0989130525950304,0.09848488122224808,0.09848488122224808,13865600
1981-02-09,0.09334685653448105,0.09420319348748132,0.09334685653448105,0.09420319348748132,16755200
1981-02-10,0.09334685653448105,0.09377502786949679,0.09334685653448105,0.09334685653448105,18345600
1981-02-11,0.09034967422485352,0.09077783981519726,0.09034967422485352,0.09077783981519726,13843200
1981-02-12,0.089492566883564,0.08992150427956784,0.089492566883564,0.08992150427956784,14560000
1981-02-13,0.08735169470310211,0.08820803129261298,0.08735169470310211,0.08820803129261298,11155200
1981-02-17,0.089492566883564,0.08992150427956784,0.089492566883564,0.089492566883564,12275200
1981-02-18,0.09334685653448105,0.09420319348748132,0.09334685653448105,0.09334685653448105,19241600
1981-02-19,0.08777987211942673,0.0882080433311328,0.08777987211942673,0.0882080433311328,22310400
1981-02-20,0.08307003229856491,0.08349820355772045,0.08307003229856491,0.08349820355772045,24371200
1981-02-23,0.08435453474521637,0.08478270600489597,0.08435453474521637,0.08435453474521637,14112000
1981-02-24,0.08135739713907242,0.0822137343449905,0.08135739713907242,0.0822137343449905,16979200
1981-02-25,0.08649539947509766,0.08692356511608458,0.08649539947509766,0.08649539947509766,19488000
1981-02-26,0.08777987211942673,0.0882080433311328,0.08777987211942673,0.08777987211942673,10841600
1981-02-27,0.09077780693769455,0.09163414352526869,0.09077780693769455,0.09077780693769455,14761600
1981-03-02,0.09120599925518036,0.09163416478981276,0.09120599925518036,0.09120599925518036,11760000
1981-03-03,0.0899214968085289,0.09034966808681502,0.0899214968085289,0.09034966808681502,16172800
1981-03-04,0.08906441181898117,0.08949257746644299,0.08906441181898117,0.08949257746644299,13708800
1981-03-05,0.08863621950149536,0.08906439076477202,0.08863621950149536,0.08906439076477202,5376000
1981-03-06,0.08777987211942673,0.08863620882580932,0.08777987211942673,0.08863620882580932,11603200
1981-03-09,0.08092918246984482,0.08135734795544501,0.08092918246984482,0.08135734795544501,15321600
1981-03-10,0.07707489281892776,0.07750305827334435,0.07707489281892776,0.07750305827334435,28380800
1981-03-11,0.07407771795988083,0.07493405465729909,0.07407771795988083,0.07493405465729909,29859200
1981-03-12,0.07707489281892776,0.07750305827334435,0.07707489281892776,0.07707489281892776,59248000
1981-03-13,0.07621859014034271,0.07664675578546155,0.07621859014034271,0.07664675578546155,231302400
1981-03-16,0.07921652495861053,0.08007286181834469,0.07921652495861053,0.07921652495861053,37228800
1981-03-17,0.08307003229856491,0.08392636909984579,0.08307003229856491,0.08307003229856491,43747200
1981-03-18,0.08820805698633194,0.08906439382528122,0.08820805698633194,0.08820805698633194,36937600
1981-03-19,0.08735169470310211,0.08777986013934316,0.08735169470310211,0.08777986013934316,37811200
1981-03-20,0.08820805698633194,0.08906439382528122,0.08820805698633194,0.08820805698633194,14604800
1981-03-23,0.09163416177034378,0.09249049852842123,0.09163416177034378,0.09163416177034378,22019200
1981-03-24,0.09120599925518036,0.09163416478981276,0.09120599925518036,0.09163416478981276,28156800
1981-03-25,0.089492566883564,0.09034967559342816,0.089492566883564,0.09034967559342816,7056000
1981-03-26,0.08777987211942673,0.0882080433311328,0.08777987211942673,0.0882080433311328,12275200
1981-03-27,0.08478269726037979,0.08521086275886805,0.08478269726037979,0.08521086275886805,12252800
1981-03-30,0.08478269726037979,0.08563903397438592,0.08478269726037979,0.08478269726037979,9900800
1981-03-31,0.08392636477947235,0.0847827015366706,0.08392636477947235,0.0847827015366706,15993600
1981-04-01,0.08307003229856491,0.08349820355772045,0.08307003229856491,0.08349820355772045,34070400
1981-04-02,0.09034967422485352,0.09077783981519726,0.09034967422485352,0.09034967422485352,31404800
1981-04-03,0.09077780693769455,0.091205978089996,0.09077780693769455,0.09077780693769455,16486400
1981-04-06,0.08906441181898117,0.08949257746644299,0.08906441181898117,0.08949257746644299,22803200
1981-04-07,0.08820805698633194,0.08863622254729137,0.08820805698633194,0.08863622254729137,10684800
1981-04-08,0.09249050170183182,0.09334683848929076,0.09249050170183182,0.09249050170183182,21952000
1981-04-09,0.09420314431190491,0.09463131542340836,0.09420314431190491,0.09420314431190491,12499200
1981-04-10,0.09548771381378174,0.09591587948574579,0.09548771381378174,0.09548771381378174,33465600
1981-04-13,0.09548771381378174,0.09591587948574579,0.09548771381378174,0.09548771381378174,16060800
1981-04-14,0.09548771381378174,0.09591587948574579,0.09548771381378174,0.09548771381378174,6652800
1981-04-15,0.09077780693769455,0.091205978089996,0.09077780693769455,0.091205978089996,34048000
1981-04-16,0.08563907444477081,0.08606724014559698,0.08563907444477081,0.08606724014559698,23878400
1981-04-20,0.08820805698633194,0.08863622254729137,0.08820805698633194,0.08820805698633194,35347200
1981-04-21,0.09420314431190491,0.09463131542340836,0.09420314431190491,0.09420314431190491,28537600
1981-04-22,0.09762854129076004,0.09805671262573754,0.09762854129076004,0.09762854129076004,18995200
1981-04-23,0.10019753128290176,0.10062570255314089,0.10019753128290176,0.10019753128290176,58016000
1981-04-24,0.09934118390083313,0.10019751486695298,0.09934118390083313,0.10019751486695298,35056000
1981-04-27,0.09848488122224808,0.0989130525950304,0.09848488122224808,0.0989130525950304,38528000
1981-04-28,0.09677215665578842,0.0972003278050905,0.09677215665578842,0.0972003278050905,32188800
1981-04-29,0.09548771381378174,0.09591587948574579,0.09548771381378174,0.09591587948574579,13641600
1981-04-30,0.09720037877559662,0.09805672152325483,0.09720037877559662,0.09720037877559662,12611200
1981-05-01,0.09720037877559662,0.09805672152325483,0.09720037877559662,0.09720037877559662,16553600
1981-05-04,0.09677215665578842,0.0972003278050905,0.09677215665578842,0.0972003278050905,14448000
1981-05-05,0.09634401649236679,0.09677217629450113,0.09634401649236679,0.09677217629450113,17539200
1981-05-06,0.09377499669790268,0.09420316217356144,0.09377499669790268,0.09420316217356144,18950400
1981-05-07,0.09505952894687653,0.0954877002751647,0.09505952894687653,0.09505952894687653,9363200
1981-05-08,0.09591583907604218,0.09634401028464801,0.09591583907604218,0.09591583907604218,7907200
