,Date,Close,High,Low,Open,Volume
2,1965-12-31,118.96743774414062,121.28631542296525,118.87747730526264,120.3967464616298,0.0
3,1966-01-03,118.21279907226562,120.04691834274551,117.97791973828625,118.96743882066986,0.0
4,1966-01-04,117.63807678222656,118.21279563453338,115.43414139517402,118.21279563453338,0.0
5,1966-01-05,115.55408477783205,118.30275471521963,115.46412434178754,117.63807543345774,0.0
6,1966-01-06,117.3832015991211,117.71803865847652,115.55408486380232,115.55408486380232,0.0
7,1966-01-07,115.28921508789062,118.4626749368486,114.99435959358972,117.38320306991758,0.0
8,1966-01-10,114.8594207763672,117.1782983730766,114.68450236711811,115.28921310628638,0.0
9,1966-01-11,113.53006744384766,114.96437101317504,111.41609242907676,114.85942606335854,0.0
10,1966-01-12,111.18120574951172,113.56005200171296,111.12123720660816,113.53006773026117,0.0
11,1966-01-13,110.70643615722656,111.41609187048832,106.86828930052212,111.18120491161308,0.0
12,1966-01-14,115.6590347290039,116.77849582448071,110.7064368411866,110.7064368411866,0.0
13,1966-01-17,118.95244598388672,119.4821884427909,115.65903373106656,115.65903373106656,0.0
14,1966-01-18,118.5526351928711,119.01241179998615,117.62308467991762,118.95244325905514,0.0
15,1966-01-19,117.82798767089844,119.24729906514884,117.47315600948352,118.55263550329563,0.0
16,1966-01-20,119.04239654541016,119.61712302587549,117.76801166560968,117.82798783248458,0.0
17,1966-01-21,119.02740478515624,119.51217082968896,117.6830540611864,119.04239692049605,0.0
18,1966-01-24,117.85797119140624,119.8070250214096,117.38320245083668,119.02740348940829,0.0
19,1966-01-25,118.36272430419922,118.44768227884126,116.82346821053903,117.85797129284202,0.0
20,1966-01-26,121.7161102294922,121.87602888693571,117.41319185448056,118.3627293771334,0.0
21,1966-01-27,128.18296813964844,128.43784968679296,121.22634295421118,121.71610382560168,0.0
22,1966-01-28,128.24293518066406,129.7122254033641,127.99305609859138,128.18296664119202,0.0
23,1966-01-31,126.89859771728516,129.80718639543,126.66371075972872,128.24294083249134,0.0
24,1966-02-01,126.1889419555664,127.84314033098998,125.98403926915258,126.89859766454876,0.0
25,1966-02-02,123.08544158935548,126.57375925540302,122.97049934054505,126.18894331287532,0.0
26,1966-02-03,117.65306854248048,123.14541362627222,116.11381244971643,123.08543745984456,0.0
27,1966-02-04,115.55408477783205,118.30275471521963,114.694500114629,117.6530675685144,0.0
28,1966-02-07,118.77252960205078,119.3072668834904,115.55408573761036,115.55408573761036,0.0
29,1966-02-08,118.43269348144533,120.72658936424736,118.27277482634878,118.7725330152957,0.0
30,1966-02-09,121.70111846923828,122.40577173263404,118.43269558507616,118.43269558507616,0.0
31,1966-02-10,122.05593872070312,123.9950029081378,121.70111468168577,121.70111468168577,0.0
32,1966-02-11,121.77108001708984,122.76059907868358,121.31629824294102,122.055938214436,0.0
33,1966-02-14,119.49717712402344,121.80106260798836,119.0973690602384,121.80106260798836,0.0
34,1966-02-15,117.1333236694336,119.49717770547171,116.91342885199664,119.49717770547171,0.0
35,1966-02-16,114.60954284667967,115.90890952238917,113.48508695627682,115.75898817089907,0.0
36,1966-02-17,117.79800415039062,118.4476836848598,114.60954451669598,114.60954451669598,0.0
37,1966-02-18,113.92987060546876,118.77252849205314,113.88489420034551,117.79800158586072,0.0
38,1966-02-21,114.11978149414062,115.96888520325535,112.66048092297294,113.9298709487754,0.0
39,1966-02-23,118.10784912109376,118.13783339115308,113.34015191334328,114.11978106340835,0.0
40,1966-02-24,120.48670196533205,120.6816073572645,117.79800804914892,118.10785569127108,0.0
41,1966-02-25,120.90149688720705,121.98097637632516,120.28179400440855,120.4866966865078,0.0
42,1966-02-28,119.40721893310548,121.6111543489988,118.98242905322996,120.90149864464384,0.0
43,1966-03-01,120.0718994140625,120.0718994140625,118.40270889755672,119.40722010943372,0.0
44,1966-03-02,119.86700439453124,120.78155516758824,119.72207024967408,120.07189945599434,0.0
45,1966-03-03,118.9374542236328,119.8670047608127,118.09286166355425,119.8670047608127,0.0
46,1966-03-04,123.40528106689452,123.40528106689452,118.93744943959656,118.93744943959656,0.0
47,1966-03-07,125.5692367553711,126.66370838265716,122.38078477292063,123.40528293477948,0.0
48,1966-03-08,125.62421417236328,126.6037435831322,124.1199447610196,125.56924046626342,0.0
49,1966-03-09,127.45832061767578,127.48831251353724,123.76510803782172,125.62420904459825,0.0
