,Date Reported,Holder,pctHeld,Shares,Value,pctChange
0,2025-06-30,Vanguard Group Inc,0.0954,1415932804,360439851129,0.0108
1,2025-06-30,Blackrock Inc.,0.0774,1148838990,292448450489,0.0076
2,2025-06-30,State Street Corporation,0.0405,601249995,153054197259,0.0088
3,2025-06-30,"Geode Capital Management, LLC",0.0239,354749794,90305106694,0.014099999
4,2025-06-30,"FMR, LLC",0.0207,306758594,78088466939,-0.065
5,2025-06-30,"Berkshire Hathaway, Inc",0.0189,280000000,71276799316,-0.066700004
6,2025-06-30,Morgan Stanley,0.015700001,233198646,59363046756,-0.033299997
7,2025-06-30,JPMORGAN CHASE & CO,0.0145000005,214606399,54630204405,0.0798
8,2025-06-30,Price (T.Rowe) Associates Inc,0.0137,202720404,51604505547,-0.0558
9,2025-06-30,NORGES BANK,0.0128,189804820,48316714515,0.014099999
