Date,Volume
1981-12-15,31315200
1981-12-16,65452800
1981-12-17,51452800
1981-12-18,71724800
1981-12-21,56403200
1981-12-22,53827200
1981-12-23,28896000
1981-12-24,28918400
1981-12-28,36579200
1981-12-29,24236800
1981-12-30,32188800
1981-12-31,54656000
1982-01-04,71254400
1982-01-05,35840000
1982-01-06,66080000
1982-01-07,70044800
1982-01-08,56604800
1982-01-11,33331200
1982-01-12,59920000
1982-01-13,41753600
1982-01-14,25715200
1982-01-15,46704000
1982-01-18,28000000
1982-01-19,55507200
1982-01-20,25827200
1982-01-21,33331200
1982-01-22,24259200
1982-01-25,44710400
1982-01-26,21212800
1982-01-27,31360000
1982-01-28,39603200
1982-01-29,53155200
1982-02-01,38528000
1982-02-02,54275200
1982-02-03,31472000
1982-02-04,22041600
1982-02-05,40297600
1982-02-08,31696000
1982-02-09,57904000
1982-02-10,38796800
1982-02-11,24528000
1982-02-12,19644800
1982-02-16,34316800
1982-02-17,25580800
1982-02-18,28380800
1982-02-19,13596800
1982-02-22,26633600
1982-02-23,34540800
1982-02-24,37945600
1982-02-25,30800000
1982-02-26,17427200
1982-03-01,35302400
1982-03-02,34809600
1982-03-03,23654400
1982-03-04,38371200
1982-03-05,45315200
1982-03-08,35145600
1982-03-09,52505600
1982-03-10,86934400
1982-03-11,22579200
1982-03-12,46547200
1982-03-15,51363200
1982-03-16,47152000
1982-03-17,50489600
1982-03-18,56336000
1982-03-19,65811200
1982-03-22,69193600
1982-03-23,55955200
1982-03-24,51609600
1982-03-25,84112000
1982-03-26,50780800
1982-03-29,67603200
1982-03-30,77952000
1982-03-31,50153600
1982-04-01,59136000
1982-04-02,84806400
1982-04-05,86643200
1982-04-06,71590400
1982-04-07,29097600
1982-04-08,23990400
1982-04-12,44307200
1982-04-13,85299200
1982-04-14,113590400
1982-04-15,164281600
1982-04-16,104048000
1982-04-19,41283200
1982-04-20,80550400
1982-04-21,73024000
1982-04-22,52595200
1982-04-23,48294400
1982-04-26,57926400
1982-04-27,70268800
1982-04-28,99232000
1982-04-29,82230400
1982-04-30,277401600
1982-05-03,82700800
1982-05-04,73987200
1982-05-05,53939200
1982-05-06,75465600
1982-05-07,84716800
1982-05-10,31606400
1982-05-11,103017600
1982-05-12,71008000
1982-05-13,54454400
1982-05-14,95737600
1982-05-17,76204800
1982-05-18,122035200
1982-05-19,75286400
1982-05-20,27619200
1982-05-21,38841600
1982-05-24,31987200
1982-05-25,51564800
1982-05-26,43276800
1982-05-27,31248000
1982-05-28,19196800
1982-06-01,47600000
1982-06-02,32905600
1982-06-03,39760000
1982-06-04,37676800
1982-06-07,37161600
1982-06-08,31404800
1982-06-09,33846400
1982-06-10,34406400
1982-06-11,54633600
1982-06-14,29993600
1982-06-15,35212800
1982-06-16,41731200
1982-06-17,29164800
1982-06-18,19868800
1982-06-21,28537600
1982-06-22,17561600
1982-06-23,52752000
1982-06-24,44150400
1982-06-25,26678400
1982-06-28,25155200
1982-06-29,35817600
1982-06-30,67625600
1982-07-01,55731200
1982-07-02,58105600
1982-07-06,87696000
1982-07-07,30374400
1982-07-08,164326400
1982-07-09,128419200
1982-07-12,63392000
1982-07-13,114374400
1982-07-14,71120000
1982-07-15,65788800
1982-07-16,77011200
1982-07-19,83776000
1982-07-20,49705600
1982-07-21,71702400
1982-07-22,35212800
1982-07-23,18300800
1982-07-26,56851200
1982-07-27,32323200
1982-07-28,53513600
1982-07-29,61868800
1982-07-30,38617600
1982-08-02,94393600
1982-08-03,89868800
1982-08-04,83865600
1982-08-05,69753600
1982-08-06,96835200
1982-08-09,56112000
1982-08-10,112246400
1982-08-11,69888000
1982-08-12,30620800
1982-08-13,25961600
1982-08-16,38416000
1982-08-17,47734400
1982-08-18,125059200
1982-08-19,47622400
1982-08-20,54857600
1982-08-23,69686400
1982-08-24,155769600
1982-08-25,357078400
1982-08-26,210582400
1982-08-27,98649600
1982-08-30,80438400
